Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2017-03-13,Kubo and the Two Strings,2016,https://letterboxd.com/dhritzkiv/film/kubo-and-the-two-strings/,4.5,,2017-02-05
2017-03-13,Manchester by the Sea,2016,https://letterboxd.com/dhritzkiv/film/manchester-by-the-sea/,3.5,plane,2017-02-05
2017-03-13,Nocturnal Animals,2016,https://letterboxd.com/dhritzkiv/film/nocturnal-animals/,3.5,,2017-02-11
2017-03-13,Hidden Figures,2016,https://letterboxd.com/dhritzkiv/film/hidden-figures/,3.5,,2017-02-26
2017-03-13,Fences,2016,https://letterboxd.com/dhritzkiv/film/fences-2016/,3.5,,2017-02-28
2017-03-13,Logan,2017,https://letterboxd.com/dhritzkiv/film/logan-2017/,3.5,IMAX,2017-03-02
2017-03-13,Moonlight,2016,https://letterboxd.com/dhritzkiv/film/moonlight-2016/,4,plane,2017-03-05
2017-03-13,The Red Turtle,2016,https://letterboxd.com/dhritzkiv/film/the-red-turtle/,3.5,,2017-03-11
2017-03-13,Zootopia,2016,https://letterboxd.com/dhritzkiv/film/zootopia/,4,netflix,2017-03-11
2017-03-13,The NeverEnding Story,1984,https://letterboxd.com/dhritzkiv/film/the-neverending-story/,1.5,tiff lightbox,2017-03-11
2017-03-18,Get Out,2017,https://letterboxd.com/dhritzkiv/film/get-out-2017/,4,,2017-03-17
2017-04-15,The Fifth Element,1997,https://letterboxd.com/dhritzkiv/film/the-fifth-element/,3.5,netflix,2017-04-14
2017-04-16,Quills,2000,https://letterboxd.com/dhritzkiv/film/quills/,3,netflix,2017-04-16
2017-04-17,Maudie,2016,https://letterboxd.com/dhritzkiv/film/maudie/,3.5,cineplex,2017-04-16
2017-04-20,David Lynch: The Art Life,2016,https://letterboxd.com/dhritzkiv/film/david-lynch-the-art-life/,3,tiff lightbox,2017-04-20
2017-05-14,Ghosts of Our Forest,2017,https://letterboxd.com/dhritzkiv/film/ghosts-of-our-forest/,3,Hot Docs,2017-05-03
2017-05-12,Their Finest,2016,https://letterboxd.com/dhritzkiv/film/their-finest/,3,,2017-05-10
2017-05-26,Beauty and the Beast,2017,https://letterboxd.com/dhritzkiv/film/beauty-and-the-beast-2017/,2.5,cineplex,2017-05-25
2017-05-30,Don't Think Twice,2016,https://letterboxd.com/dhritzkiv/film/dont-think-twice/,3,netflix,2017-05-28
2017-05-31,The Nice Guys,2016,https://letterboxd.com/dhritzkiv/film/the-nice-guys/,3,,2017-05-30
2017-06-06,The Lego Movie,2014,https://letterboxd.com/dhritzkiv/film/the-lego-movie/,4,,2017-06-04
2017-06-08,The Lego Batman Movie,2017,https://letterboxd.com/dhritzkiv/film/the-lego-batman-movie/,4,,2017-06-07
2017-06-21,A Fish Called Wanda,1988,https://letterboxd.com/dhritzkiv/film/a-fish-called-wanda/,3,,2017-06-19
2017-06-29,Baby Driver,2017,https://letterboxd.com/dhritzkiv/film/baby-driver/,4,cineplex,2017-06-28
2017-07-05,The Big Sick,2017,https://letterboxd.com/dhritzkiv/film/the-big-sick/,4,cineplex,2017-07-04
2017-07-18,The Handmaiden,2016,https://letterboxd.com/dhritzkiv/film/the-handmaiden/,4.5,"foreign, south korean",2017-07-17
2017-07-19,The Beguiled,2017,https://letterboxd.com/dhritzkiv/film/the-beguiled-2017/,3.5,cineplex,2017-07-18
2017-07-26,Dunkirk,2017,https://letterboxd.com/dhritzkiv/film/dunkirk-2017/,4.5,"cineplex, imax",2017-07-25
2017-07-27,Hunt for the Wilderpeople,2016,https://letterboxd.com/dhritzkiv/film/hunt-for-the-wilderpeople/,4,netflix,2017-07-26
2017-08-11,The Founder,2016,https://letterboxd.com/dhritzkiv/film/the-founder/,3.5,netflix,2017-08-10
2017-08-16,Wind River,2017,https://letterboxd.com/dhritzkiv/film/wind-river-2017/,3.5,cineplex,2017-08-15
2017-08-20,Okja,2017,https://letterboxd.com/dhritzkiv/film/okja/,3.5,netflix,2017-08-18
2017-08-22,The World's End,2013,https://letterboxd.com/dhritzkiv/film/the-worlds-end/,3,netflix,2017-08-21
2017-08-24,Atomic Blonde,2017,https://letterboxd.com/dhritzkiv/film/atomic-blonde/,3,cineplex,2017-08-23
2017-08-25,My Scientology Movie,2015,https://letterboxd.com/dhritzkiv/film/my-scientology-movie/,2.5,netflix,2017-08-24
2017-08-28,The Intern,2015,https://letterboxd.com/dhritzkiv/film/the-intern-2015/,3,netflix,2017-08-27
2017-09-03,John Wick,2014,https://letterboxd.com/dhritzkiv/film/john-wick/,3,netflix,2017-09-02
2017-09-06,Personal Shopper,2016,https://letterboxd.com/dhritzkiv/film/personal-shopper/,2.5,netflix,2017-09-05
2017-09-08,Office Space,1999,https://letterboxd.com/dhritzkiv/film/office-space/,3.5,netflix,2017-09-07
2017-09-09,Welcome to the Sticks,2008,https://letterboxd.com/dhritzkiv/film/welcome-to-the-sticks/,3,"foreign, french",2017-09-08
2017-09-13,It,2017,https://letterboxd.com/dhritzkiv/film/it-2017/,3.5,cineplex,2017-09-12
2017-09-15,Blue Velvet,1986,https://letterboxd.com/dhritzkiv/film/blue-velvet/,5,,2017-09-14
2017-09-20,mother!,2017,https://letterboxd.com/dhritzkiv/film/mother-2017/,3,cineplex,2017-09-20
2017-09-24,Minority Report,2002,https://letterboxd.com/dhritzkiv/film/minority-report/,4,netflix,2017-09-23
2017-09-25,The Talented Mr. Ripley,1999,https://letterboxd.com/dhritzkiv/film/the-talented-mr-ripley/,4,netflix,2017-09-24
2017-10-01,Clueless,1995,https://letterboxd.com/dhritzkiv/film/clueless/,3,netflix,2017-09-30
2017-10-08,2036: Nexus Dawn,2017,https://letterboxd.com/dhritzkiv/film/2036-nexus-dawn/,3,"youtube, short",2017-10-03
2017-10-07,Blade Runner,1982,https://letterboxd.com/dhritzkiv/film/blade-runner/,4.5,,2017-10-06
2017-10-08,Punch-Drunk Love,2002,https://letterboxd.com/dhritzkiv/film/punch-drunk-love/,4,netflix,2017-10-07
2017-10-08,Blade Runner 2022: Black Out,2017,https://letterboxd.com/dhritzkiv/film/blade-runner-2022-black-out/,3.5,"youtube, short",2017-10-07
2017-10-08,2048: Nowhere to Run,2017,https://letterboxd.com/dhritzkiv/film/2048-nowhere-to-run/,2.5,"youtube, short",2017-10-07
2017-10-09,The Empire Strikes Back,1980,https://letterboxd.com/dhritzkiv/film/the-empire-strikes-back/,4.5,,2017-10-08
2017-10-11,Blade Runner 2049,2017,https://letterboxd.com/dhritzkiv/film/blade-runner-2049/,5,"cineplex, imax",2017-10-10
2017-10-13,The Secret Life of Pets,2016,https://letterboxd.com/dhritzkiv/film/the-secret-life-of-pets/,1.5,,2017-10-12
2017-10-14,The Squid and the Whale,2005,https://letterboxd.com/dhritzkiv/film/the-squid-and-the-whale/,3.5,netflix,2017-10-14
2017-10-16,A Man Called Ove,2015,https://letterboxd.com/dhritzkiv/film/a-man-called-ove/,4,"netflix, foreign",2017-10-15
2017-10-21,What We Do in the Shadows,2014,https://letterboxd.com/dhritzkiv/film/what-we-do-in-the-shadows/,3.5,netflix,2017-10-21
2017-10-25,The Edge of Seventeen,2016,https://letterboxd.com/dhritzkiv/film/the-edge-of-seventeen/,3.5,netflix,2017-10-24
2017-10-29,The Thing,1982,https://letterboxd.com/dhritzkiv/film/the-thing/,4.5,,2017-10-29
2017-10-30,Escape from New York,1981,https://letterboxd.com/dhritzkiv/film/escape-from-new-york/,3.5,,2017-10-29
2017-11-05,The Shawshank Redemption,1994,https://letterboxd.com/dhritzkiv/film/the-shawshank-redemption/,4.5,netflix,2017-11-05
2017-11-07,The Killing of a Sacred Deer,2017,https://letterboxd.com/dhritzkiv/film/the-killing-of-a-sacred-deer/,4.5,cineplex,2017-11-07
2017-11-12,Mad Max: Fury Road,2015,https://letterboxd.com/dhritzkiv/film/mad-max-fury-road/,4.5,,2017-11-11
2017-11-12,Drop Dead Gorgeous,1999,https://letterboxd.com/dhritzkiv/film/drop-dead-gorgeous/,3.5,,2017-11-11
2017-11-14,The Jungle Book,2016,https://letterboxd.com/dhritzkiv/film/the-jungle-book-2016/,2.5,netflix,2017-11-13
2017-11-17,Train to Busan,2016,https://letterboxd.com/dhritzkiv/film/train-to-busan/,3.5,"netflix, foreign, south korean",2017-11-16
2017-11-19,Finding Dory,2016,https://letterboxd.com/dhritzkiv/film/finding-dory/,4,netflix,2017-11-19
2017-11-26,Luk'Luk'I,2017,https://letterboxd.com/dhritzkiv/film/lukluki/,3.5,tiff lightbox,2017-11-25
2017-11-27,Lady Bird,2017,https://letterboxd.com/dhritzkiv/film/lady-bird/,4,cineplex,2017-11-26
2017-11-29,"Three Billboards Outside Ebbing, Missouri",2017,https://letterboxd.com/dhritzkiv/film/three-billboards-outside-ebbing-missouri/,4.5,cineplex,2017-11-28
2017-12-01,"Paris, Texas",1984,https://letterboxd.com/dhritzkiv/film/paris-texas/,4.5,,2017-11-30
2017-12-05,Brigsby Bear,2017,https://letterboxd.com/dhritzkiv/film/brigsby-bear/,4,,2017-12-04
2017-12-08,"I, Daniel Blake",2016,https://letterboxd.com/dhritzkiv/film/i-daniel-blake/,4,netflix,2017-12-07
2017-12-12,The Little Hours,2017,https://letterboxd.com/dhritzkiv/film/the-little-hours/,3,netflix,2017-12-12
2017-12-13,The Shape of Water,2017,https://letterboxd.com/dhritzkiv/film/the-shape-of-water/,4,cineplex,2017-12-12
2017-12-16,Star Wars: The Last Jedi,2017,https://letterboxd.com/dhritzkiv/film/star-wars-the-last-jedi/,4,cineplex,2017-12-15
2017-12-20,The Disaster Artist,2017,https://letterboxd.com/dhritzkiv/film/the-disaster-artist/,3.5,cineplex,2017-12-19
2017-12-27,Barry Lyndon,1975,https://letterboxd.com/dhritzkiv/film/barry-lyndon/,5,,2017-12-26
